date,2011,1985,1998,1974
01-12,26.6,27.6,26.3,23.3
02-12,29.1,26.1,29.5,26.0
03-12,31.6,31.1,31.0,28.4
04-12,23.0,31.2,30.5,30.1
05-12,29.1,30.6,26.0,31.5
06-12,29.1,28.4,27.4,33.5
07-12,27.9,35.2,32.3,32.0
08-12,29.8,25.4,27.5,26.0
09-12,32.6,23.1,26.5,21.3
10-12,34.2,22.7,32.0,14.2
11-12,33.5,24.4,33.5,17.0
12-12,27.0,22.8,33.5,23.8
13-12,28.9,24.9,28.4,27.0
14-12,27.7,28.4,29.5,28.1
15-12,29.0,30.2,32.5,31.0
16-12,28.7,31.4,26.5,25.2
17-12,31.5,35.1,25.2,18.5
18-12,37.3,29.5,31.0,21.5
19-12,37.7,28.3,32.0,25.2
20-12,38.8,28.2,21.9,25.5
21-12,42.4,32.0,24.3,28.2
22-12,33.6,27.4,19.4,31.5
23-12,26.1,28.6,32.0,32.5
24-12,22.8,31.2,33.0,26.1
25-12,28.2,28.5,34.6,30.0
26-12,32.7,31.2,37.5,32.5
27-12,33.8,30.9,39.0,27.9
28-12,33.0,30.6,25.5,24.0
29-12,27.1,30.5,30.0,27.9
30-12,34.1,28.9,31.8,28.5
31-12,34.6,29.1,29.0,22.5
