,ANIO,MES,DIA,TMAX
240,1956,12,1,99.9
241,1956,12,2,99.9
242,1956,12,3,99.9
243,1956,12,4,99.9
244,1956,12,5,99.9
245,1956,12,6,99.9
246,1956,12,7,99.9
247,1956,12,8,99.9
248,1956,12,9,99.9
249,1956,12,10,99.9
250,1956,12,11,99.9
251,1956,12,12,99.9
252,1956,12,13,99.9
253,1956,12,14,99.9
254,1956,12,15,99.9
255,1956,12,16,99.9
256,1956,12,17,99.9
257,1956,12,18,99.9
258,1956,12,19,99.9
259,1956,12,20,99.9
260,1956,12,21,99.9
261,1956,12,22,99.9
262,1956,12,23,99.9
263,1956,12,24,99.9
264,1956,12,25,99.9
265,1956,12,26,99.9
266,1956,12,27,99.9
267,1956,12,28,99.9
268,1956,12,29,99.9
269,1956,12,30,99.9
270,1956,12,31,99.9
605,1957,12,1,27.8
606,1957,12,2,35.2
607,1957,12,3,32.6
608,1957,12,4,25.6
609,1957,12,5,15.5
610,1957,12,6,21.1
611,1957,12,7,23.0
612,1957,12,8,29.6
613,1957,12,9,24.6
614,1957,12,10,26.8
615,1957,12,11,29.8
616,1957,12,12,35.4
617,1957,12,13,24.2
618,1957,12,14,30.1
619,1957,12,15,27.2
620,1957,12,16,30.5
621,1957,12,17,33.0
622,1957,12,18,29.0
623,1957,12,19,28.6
624,1957,12,20,30.0
625,1957,12,21,34.8
626,1957,12,22,31.7
627,1957,12,23,36.5
628,1957,12,24,30.8
629,1957,12,25,33.4
630,1957,12,26,32.5
631,1957,12,27,35.2
632,1957,12,28,36.5
633,1957,12,29,32.0
634,1957,12,30,26.7
635,1957,12,31,26.6
970,1958,12,1,99.9
971,1958,12,2,99.9
972,1958,12,3,99.9
973,1958,12,4,99.9
974,1958,12,5,99.9
975,1958,12,6,99.9
976,1958,12,7,99.9
977,1958,12,8,99.9
978,1958,12,9,99.9
979,1958,12,10,99.9
980,1958,12,11,99.9
981,1958,12,12,99.9
982,1958,12,13,99.9
983,1958,12,14,99.9
984,1958,12,15,99.9
